judul_ciptaan,jenis_ciptaan,nomor_pencatatan,nama_pencipta,dosen_terkait,file_asli
Flofa Quizzy,Permainan Video,000621821,"Bedi Mulyana, S. Hut, M. Par, MMCAP",Dr. Ir. Tutut Sunarminto MSi; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - Flofa Quizzy.pdf
Flofa Quizzy,Permainan Video,000621821,"Ira Resmayasari, S.S., M.Par., M.T.H.M",Dr. Ir. Tutut Sunarminto MSi; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - Flofa Quizzy.pdf
LONA (Mengenal Flora Dan Fauna),Permainan Video,000621239,Muhammad Amar Bil Qisti,Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - LONA (Mengenal Flora dan Fauna).pdf
LONA (Mengenal Flora Dan Fauna),Permainan Video,000621239,"Dr. Ir. Ricky Avenzora, M.Sc.F.Trop",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - LONA (Mengenal Flora dan Fauna).pdf
LONA (Mengenal Flora Dan Fauna),Permainan Video,000621239,"Dr. Ir. Harnios Arief, M.Sc.F",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - LONA (Mengenal Flora dan Fauna).pdf
LONA (Mengenal Flora Dan Fauna),Permainan Video,000621239,"Dr. Rini Untari, S.Hut., M.Si",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - LONA (Mengenal Flora dan Fauna).pdf
LONA (Mengenal Flora Dan Fauna),Permainan Video,000621239,"Dr. Gatot Widodo, S.Pd., M.Pd",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - LONA (Mengenal Flora dan Fauna).pdf
LONA (Mengenal Flora Dan Fauna),Permainan Video,000621239,"Dina Sri Suprajanti, S.Hut., M.Si",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - LONA (Mengenal Flora dan Fauna).pdf
PERBANA,Permainan Video,000621747,Boni Fargas Napitupulu,Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - PERBANA.pdf
PERBANA,Permainan Video,000621747,"Dr. Ir. Ricky Avenzora, M.Sc.F.Trop",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - PERBANA.pdf
PERBANA,Permainan Video,000621747,"Dr. Ir. Harnios Arief, M.Sc.F",Dr. Ir. Harnios Arief M.Sc.F.Trop.; Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Permainan Video - PERBANA.pdf
