judul_ciptaan,jenis_ciptaan,nomor_pencatatan,nama_pencipta,dosen_terkait,file_asli
Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan,Poster,001082277,Fairuz Rafidah Aflaha,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan Pengunjung di Jalur Pendakian Taman Nasional Gunung Rinjani.pdf"
Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan,Poster,001082277,Rony Wardani,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan Pengunjung di Jalur Pendakian Taman Nasional Gunung Rinjani.pdf"
Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan,Poster,001082277,Mu'adz Ubaidillah,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan Pengunjung di Jalur Pendakian Taman Nasional Gunung Rinjani.pdf"
Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan,Poster,001082277,Muhammad Ekki Rizky Indracahya,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Inovasi Sosial dalam Peningkatan Keamanan dan Keselamatan Pengunjung di Jalur Pendakian Taman Nasional Gunung Rinjani.pdf"
Pengembangan Wisata Rendah Karbon di Kasepuhan Girijaya,Poster,000946307,"Dr. Ir. Nandi Kosmaryandi, M.Sc.F.Trop","Dr. Ir. Nandi Kosmaryandi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Pengembangan Wisata Rendah Karbon di Kasepuhan Girijaya, Kecamatan Cidahu, Kabupaten Sukabumi.pdf"
Pengembangan Wisata Rendah Karbon di Kasepuhan Girijaya,Poster,000946307,"Dr. Eva Rachmawati, S.Hut, M.Si","Dr. Ir. Nandi Kosmaryandi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Pengembangan Wisata Rendah Karbon di Kasepuhan Girijaya, Kecamatan Cidahu, Kabupaten Sukabumi.pdf"
Pengembangan Wisata Rendah Karbon di Kasepuhan Girijaya,Poster,000946307,"Resti Meilani, S.Hut, M.Si","Dr. Ir. Nandi Kosmaryandi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Pengembangan Wisata Rendah Karbon di Kasepuhan Girijaya, Kecamatan Cidahu, Kabupaten Sukabumi.pdf"
Pengembangan Wisata Rendah Karbon di Kasepuhan Girijaya,Poster,000946307,"Amrina Rosyada, S.T.P, M.Agr.Sc","Dr. Ir. Nandi Kosmaryandi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Pengembangan Wisata Rendah Karbon di Kasepuhan Girijaya, Kecamatan Cidahu, Kabupaten Sukabumi.pdf"
Pengembangan Wisata Rendah Karbon di Kasepuhan Girijaya,Poster,000946307,"Fairuz Rafidah Aflaha, S.K.Pm., M.S","Dr. Ir. Nandi Kosmaryandi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Pengembangan Wisata Rendah Karbon di Kasepuhan Girijaya, Kecamatan Cidahu, Kabupaten Sukabumi.pdf"
Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman,Peta,001082287,Rinekso Soekmadi,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman  Nasional Gunung Rinjani.pdf"
Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman,Peta,001082287,Eva Rachmawati,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman  Nasional Gunung Rinjani.pdf"
Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman,Peta,001082287,Resti Meilani,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman  Nasional Gunung Rinjani.pdf"
Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman,Peta,001082287,Amrina Rosyada,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman  Nasional Gunung Rinjani.pdf"
Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman,Peta,001082287,Fairuz Rafidah Aflaha,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman  Nasional Gunung Rinjani.pdf"
Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman,Peta,001082287,Rony Wardani,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman  Nasional Gunung Rinjani.pdf"
Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman,Peta,001082287,Mu'adz Ubaidillah,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman  Nasional Gunung Rinjani.pdf"
Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman,Peta,001082287,Muhammad Ekki Rizky Indracahya,"Dr. Ir. Rinekso Soekmadi M.Sc.F.Trop.; Dr. Eva Rachmawati S.Hut., M.Si.; Resti Meilani S.Hut., M.Si.; Fairuz Rafidah Aflaha S.K.Pm., M.S.; Amrina Rosyada S.T.P., M.Agr.Sc.","Dr. Eva Rachmawati, S.Hut, M.Si/Sertifikat Hak Cipta_Peta Potensi Bahaya Jalur Pendakian Sembalun-Torean Taman  Nasional Gunung Rinjani.pdf"
Dynamic Model For Sustainable Smallholder Sugarcane Plantation,Program Komputer,000596106,"Dr. Salis Deris Artikanur, S.Si., M.Si","Dr. Yudi Setiawan S.P., M.Env.Sc.","Dr. Yudi Setiawan, S.P, M.Env.Sc/Dynamic Model For Sustainable Smallholder Sugarcane Plantation (DYMOS3P).pdf"
Dynamic Model For Sustainable Smallholder Sugarcane Plantation,Program Komputer,000596106,"Prof. Dr. Ir. Widiatmaka, D.A.A., I.P.U","Dr. Yudi Setiawan S.P., M.Env.Sc.","Dr. Yudi Setiawan, S.P, M.Env.Sc/Dynamic Model For Sustainable Smallholder Sugarcane Plantation (DYMOS3P).pdf"
Dynamic Model For Sustainable Smallholder Sugarcane Plantation,Program Komputer,000596106,"Dr. Yudi Setiawan, S.P., M.Env.Sc","Dr. Yudi Setiawan S.P., M.Env.Sc.","Dr. Yudi Setiawan, S.P, M.Env.Sc/Dynamic Model For Sustainable Smallholder Sugarcane Plantation (DYMOS3P).pdf"
Dynamic Model For Sustainable Smallholder Sugarcane Plantation,Program Komputer,000596106,"Prof. Dr. Ir. Marimin, M.Sc., I.P.U","Dr. Yudi Setiawan S.P., M.Env.Sc.","Dr. Yudi Setiawan, S.P, M.Env.Sc/Dynamic Model For Sustainable Smallholder Sugarcane Plantation (DYMOS3P).pdf"
ECOFLORNA,Permainan Video,000621240,Naufal Rafie Yudha Perkasa,Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Ecoflorna.pdf
ECOFLORNA,Permainan Video,000621240,"Dr. Ir. Ricky Avenzora, M.Sc.F.Trop",Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Ecoflorna.pdf
ECOFLORNA,Permainan Video,000621240,"KaniaSofiantina Rahayu, S.I.Kom, M.Par, M.T.H.M",Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Ecoflorna.pdf
ECOFLORNA,Permainan Video,000621240,"Dr. Melewanto Patabang, S.Hut., M.Si",Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Ecoflorna.pdf
ECOFLORNA,Permainan Video,000621240,"Dr. Reno Catelya Dira Oktavia, S.E., M.H",Dr. Ir. Ricky Avenzora M.Sc.F.Trop.,Ecoflorna.pdf
